"timestamp","unique_devices","records"
"2021-04-01 00",446294,1724378
"2021-04-01 01",438861,2198119
"2021-04-01 02",417035,1728568
"2021-04-01 03",415479,1927620
"2021-04-01 04",438165,2290973
"2021-04-01 05",520639,3172617
"2021-04-01 06",646309,4895383
"2021-04-01 07",702780,6493174
"2021-04-01 08",695804,5477223
"2021-04-01 09",697743,5576078
"2021-04-01 10",696659,5895080
"2021-04-01 11",702222,5224097
"2021-04-01 12",595934,2991081
"2021-04-01 13",673089,4048963
"2021-04-01 14",733559,5107073
"2021-04-01 15",740204,4535649
"2021-04-01 16",707441,4025507
"2021-04-01 17",692208,3171490
"2021-04-01 18",636061,2433937
"2021-04-01 19",719708,2356479
"2021-04-01 20",621717,1708769
"2021-04-01 21",548150,1411856
"2021-04-01 22",507500,1338315
"2021-04-01 23",455141,1128427
"2021-04-02 00",440649,1092340
"2021-04-02 01",435089,1266329
"2021-04-02 02",409886,1195645
"2021-04-02 03",402292,1180903
"2021-04-02 04",413377,1279934
"2021-04-02 05",467592,1572797
"2021-04-02 06",579532,2110602
"2021-04-02 07",697297,2761427
"2021-04-02 08",747924,3342523
"2021-04-02 09",759467,4072044
"2021-04-02 10",759752,4514501
"2021-04-02 11",763270,4726188
"2021-04-02 12",766449,4772101
"2021-04-02 13",748255,4455829
"2021-04-02 14",705425,3759944
"2021-04-02 15",735979,3780993
"2021-04-02 16",705925,3191939
"2021-04-02 17",701697,2591085
"2021-04-02 18",699325,2341409
"2021-04-02 19",815367,2836371
"2021-04-02 20",811771,2679220
"2021-04-02 21",793408,2506486
"2021-04-02 23",546411,1463937
"2021-04-03 00",475320,1210070
"2021-04-03 01",459083,1300973
"2021-04-03 02",434046,1221175
"2021-04-03 03",423826,1193066
"2021-04-03 04",430568,1269038
"2021-04-03 05",478804,1493780
"2021-04-03 06",590887,1986992
"2021-04-03 07",713617,2761667
"2021-04-03 08",776772,3531404
"2021-04-03 09",785749,4211977
"2021-04-03 10",787626,4746964
"2021-04-03 11",794656,4985999
"2021-04-03 12",799270,4908785
"2021-04-03 13",794532,4785891
"2021-04-03 14",795887,4615302
"2021-04-03 15",755140,3660302
"2021-04-03 16",750151,3250160
"2021-04-03 17",732750,2817264
"2021-04-03 18",751423,2563436
"2021-04-03 19",740712,2209169
"2021-04-03 20",830158,2611563
"2021-04-03 21",816576,2597650
"2021-04-03 22",704506,2139895
"2021-04-03 23",598267,1749010
"2021-04-04 00",490934,1229186
"2021-04-04 01",471164,1313604
"2021-04-04 02",434633,1220315
"2021-04-04 03",421213,1169038
"2021-04-04 04",424112,1208092
"2021-04-04 05",470035,1386565
"2021-04-04 06",583949,1784026
"2021-04-04 07",704364,2311438
"2021-04-04 08",787262,3007113
"2021-04-04 09",811238,3685096
"2021-04-04 10",808136,4160236
"2021-04-04 11",813146,4427461
"2021-04-04 12",811611,4347364
"2021-04-04 13",809012,4147043
"2021-04-04 14",813719,3956138
"2021-04-04 15",757255,3092860
"2021-04-04 16",780517,2956717
"2021-04-04 17",736656,2432635
"2021-04-04 18",766002,2447439
"2021-04-04 19",807431,2505773
"2021-04-04 20",833820,2507350
"2021-04-04 21",848454,2555378
"2021-04-04 22",710148,2072658
"2021-04-04 23",588796,1683104
"2021-04-05 00",478926,1193596
"2021-04-05 01",462242,1292684
"2021-04-05 02",429537,1199932
"2021-04-05 03",413176,1164981
"2021-04-05 04",420797,1243337
"2021-04-05 05",471881,1469508
"2021-04-05 06",582753,1897623
"2021-04-05 07",710997,2452500
"2021-04-05 08",801611,3098493
"2021-04-05 09",806568,3751425
"2021-04-05 10",830878,4226337
"2021-04-05 11",841877,4563117
"2021-04-05 12",845141,4618233
"2021-04-05 13",846375,4580756
"2021-04-05 14",855345,4447124
"2021-04-05 15",880301,4272590
"2021-04-05 16",895582,3972131
"2021-04-05 17",899396,3654549
"2021-04-05 18",869422,3112473
"2021-04-05 19",894531,2883605
"2021-04-05 20",842627,2420136
"2021-04-05 21",828657,2370188
"2021-04-05 22",688994,1941165
"2021-04-05 23",585465,1628251
"2021-04-06 00",467410,1136003
"2021-04-06 01",447619,1270861
"2021-04-06 02",428221,1219636
"2021-04-06 03",416637,1232103
"2021-04-06 04",437032,1438854
"2021-04-06 05",514303,2009942
"2021-04-06 06",639750,2935603
"2021-04-06 07",730237,3460934
"2021-04-06 08",765494,3565822
"2021-04-06 09",775699,3827468
"2021-04-06 10",784232,4121215
"2021-04-06 11",804889,4369345
"2021-04-06 12",822042,4485089
"2021-04-06 13",821948,4494997
"2021-04-06 14",841359,4623794
"2021-04-06 15",868745,4825399
"2021-04-06 16",895557,4909057
"2021-04-06 17",928578,4123713
"2021-04-06 18",932212,3633218
"2021-04-06 19",958075,3300848
"2021-04-06 20",929991,2920458
"2021-04-06 21",856991,2524013
"2021-04-06 22",689044,1972652
"2021-04-06 23",581449,1635251
"2021-04-07 00",80181,207597
"2021-04-07 01",56621,167469
"2021-04-07 02",41119,129884
"2021-04-07 03",43159,138498
"2021-04-07 04",66606,187397
"2021-04-07 05",132211,314055
"2021-04-07 06",233848,552394
"2021-04-07 07",299416,702527
"2021-04-07 08",318772,742918
"2021-04-07 09",314601,746284
"2021-04-07 10",312530,714599
"2021-04-07 11",319896,720700
"2021-04-07 12",336676,763909
"2021-04-07 13",332441,766713
"2021-04-07 14",345470,787043
"2021-04-07 15",365620,820380
"2021-04-07 16",392634,871222
"2021-04-07 17",849263,2477999
"2021-04-07 18",907860,3740377
"2021-04-07 19",941050,3395050
"2021-04-07 20",918655,2967641
"2021-04-07 21",857195,2560641
"2021-04-07 22",721503,2071364
"2021-04-07 23",597531,1682919
